time;gFx;gFy;gFz;TgF
1,071419;0,0511;0,1571;0,9836;0,997
1,076456;0,0481;0,1542;0,9811;0,994
1,081702;0,0452;0,1510;0,9792;0,992
1,086582;0,0432;0,1473;0,9770;0,989
1,091588;0,0396;0,1422;0,9804;0,991
1,096722;0,0364;0,1395;0,9843;0,995
1,105873;0,0352;0,1312;0,9850;0,994
1,106682;0,0332;0,1290;0,9865;0,995
1,111974;0,0298;0,1241;0,9929;1,001
1,117309;0,0283;0,1207;1,0019;1,010
1,125306;0,0281;0,1178;1,0129;1,020
1,126732;0,0291;0,1143;1,0224;1,029
1,133144;0,0293;0,1126;1,0298;1,036
1,141684;0,0308;0,1131;1,0373;1,044
1,142859;0,0322;0,1136;1,0434;1,050
1,146926;0,0293;0,1131;1,0449;1,051
1,152316;0,0293;0,1124;1,0437;1,050
1,156907;0,0293;0,1143;1,0363;1,043
1,161980;0,0288;0,1165;1,0283;1,035
1,171697;0,0298;0,1182;1,0156;1,023
1,172915;0,0320;0,1246;1,0080;1,016
1,177181;0,0364;0,1300;1,0002;1,009
1,182142;0,0403;0,1371;0,9929;1,003
1,187804;0,0489;0,1410;0,9872;0,998
1,192130;0,0601;0,1471;0,9865;0,999
1,197367;0,0635;0,1539;0,9841;0,998
1,205327;0,0645;0,1559;0,9882;1,003
1,211185;0,0684;0,1615;0,9955;1,011
1,212255;0,0684;0,1656;1,0048;1,021
1,218218;0,0716;0,1669;1,0197;1,036
1,222350;0,0684;0,1673;1,0359;1,052
1,227307;0,0711;0,1656;1,0473;1,063
1,233918;0,0696;0,1639;1,0549;1,070
1,237546;0,0677;0,1600;1,0603;1,074
1,242607;0,0679;0,1610;1,0603;1,075
1,247415;0,0660;0,1600;1,0581;1,072
1,253376;0,0652;0,1595;1,0564;1,070
1,257572;0,0660;0,1612;1,0508;1,065
1,262608;0,0650;0,1583;1,0488;1,063
1,267916;0,0638;0,1588;1,0454;1,059
1,272563;0,0635;0,1556;1,0407;1,054
1,277619;0,0628;0,1534;1,0390;1,052
1,284367;0,0616;0,1515;1,0388;1,052
1,288020;0,0559;0,1480;1,0415;1,053
1,292812;0,0523;0,1446;1,0425;1,054
1,305053;0,0503;0,1402;1,0493;1,060
1,305886;0,0493;0,1383;1,0532;1,063
1,310740;0,0457;0,1329;1,0534;1,063
1,312835;0,0447;0,1300;1,0539;1,063
1,324307;0,0420;0,1253;1,0503;1,059
1,325671;0,0413;0,1258;1,0442;1,053
1,327953;0,0420;0,1229;1,0371;1,045
1,334867;0,0386;0,1224;1,0283;1,036
1,338093;0,0420;0,1209;1,0200;1,028
1,343001;0,0462;0,1209;1,0107;1,019
1,348026;0,0493;0,1212;0,9997;1,008
1,354878;0,0537;0,1209;0,9877;0,997
1,358287;0,0545;0,1270;0,9789;0,989
1,363116;0,0523;0,1273;0,9709;0,981
1,368642;0,0515;0,1253;0,9704;0,980
1,373205;0,0528;0,1246;0,9701;0,980
1,378595;0,0498;0,1217;0,9731;0,982
1,384122;0,0489;0,1175;0,9804;0,989
1,388317;0,0450;0,1160;0,9868;0,995
1,393293;0,0423;0,1141;0,9938;1,001
1,398448;0,0374;0,1119;0,9995;1,006
1,403470;0,0340;0,1102;1,0090;1,016
1,408417;0,0296;0,1090;1,0156;1,022
1,413546;0,0261;0,1119;1,0192;1,026
1,424621;0,0198;0,1109;1,0246;1,031
1,425502;0,0183;0,1092;1,0251;1,031
1,428754;0,0156;0,1107;1,0205;1,027
1,439481;0,0129;0,1102;1,0146;1,021
1,440383;0,0107;0,1141;1,0068;1,013
1,443675;0,0125;0,1173;1,0017;1,009
1,448571;0,0105;0,1217;0,9953;1,003
1,454096;0,0073;0,1275;0,9904;0,999
1,458989;0,0061;0,1278;0,9880;0,996
1,464355;0,0002;0,1312;0,9853;0,994
1,469170;-0,0049;0,1331;0,9824;0,991
1,474865;-0,0088;0,1344;0,9770;0,986
1,479048;-0,0127;0,1341;0,9726;0,982
1,484727;-0,0198;0,1368;0,9653;0,975
1,489125;-0,0213;0,1375;0,9591;0,969
1,494070;-0,0252;0,1380;0,9562;0,966
1,498968;-0,0303;0,1331;0,9567;0,966
1,504003;-0,0393;0,1309;0,9574;0,967
1,508892;-0,0496;0,1285;0,9660;0,976
1,513916;-0,0601;0,1182;0,9743;0,983
1,522828;-0,0704;0,1116;0,9838;0,993
1,524218;-0,0799;0,1002;0,9931;1,001
1,529235;-0,0906;0,0909;0,9992;1,007
1,538764;-0,1031;0,0838;1,0083;1,017
1,539663;-0,1085;0,0782;1,0141;1,023
1,544302;-0,1156;0,0743;1,0166;1,026
1,549728;-0,1212;0,0689;1,0166;1,026
1,554198;-0,1261;0,0650;1,0153;1,025
1,559197;-0,1283;0,0643;1,0188;1,029
1,565149;-0,1258;0,0640;1,0246;1,034
1,569377;-0,1224;0,0674;1,0324;1,042
1,574309;-0,1182;0,0701;1,0398;1,049
