time;gFx;gFy;gFz;TgF
0,881396;0,0493;0,2040;1,0354;1,056
0,887364;0,0498;0,2096;1,0351;1,057
0,891602;0,0498;0,2130;1,0327;1,056
0,896497;0,0469;0,2157;1,0254;1,049
0,901689;0,0491;0,2172;1,0080;1,032
0,906546;0,0472;0,2184;1,0017;1,026
0,911541;0,0423;0,2209;0,9973;1,022
0,916818;0,0369;0,2228;0,9914;1,017
0,930690;0,0335;0,2221;0,9890;1,014
0,931916;0,0300;0,2191;0,9880;1,012
0,932616;0,0244;0,2143;0,9846;1,008
0,939296;0,0205;0,2116;0,9953;1,018
0,943571;0,0159;0,2067;1,0026;1,024
0,946862;0,0149;0,2025;1,0070;1,027
0,953208;0,0181;0,2023;1,0100;1,030
0,956935;0,0274;0,1991;1,0087;1,029
0,962146;0,0359;0,1976;1,0085;1,028
0,967460;0,0435;0,1954;0,9999;1,020
0,972073;0,0491;0,1913;0,9907;1,010
0,976958;0,0528;0,1884;0,9836;1,003
0,982400;0,0584;0,1840;0,9743;0,993
0,989736;0,0679;0,1818;0,9675;0,987
0,992154;0,0735;0,1803;0,9623;0,982
0,997377;0,0752;0,1766;0,9569;0,976
1,002048;0,0735;0,1715;0,9526;0,971
1,007906;0,0704;0,1642;0,9557;0,972
1,012427;0,0635;0,1603;0,9660;0,981
1,017692;0,0591;0,1566;0,9787;0,993
1,030243;0,0535;0,1578;0,9941;1,008
1,031001;0,0506;0,1634;1,0053;1,020
1,032103;0,0518;0,1688;1,0161;1,031
1,047247;0,0596;0,1788;1,0166;1,034
1,048389;0,0672;0,1918;1,0126;1,033
1,048851;0,0706;0,2050;0,9982;1,022
1,052870;0,0743;0,2160;0,9804;1,007
1,058073;0,0738;0,2284;0,9567;0,986
1,062844;0,0750;0,2387;0,9337;0,967
1,067955;0,0772;0,2499;0,9118;0,949
1,072902;0,0838;0,2612;0,8932;0,934
1,078252;0,0921;0,2690;0,8851;0,930
1,082796;0,0987;0,2746;0,8905;0,937
1,087568;0,1019;0,2766;0,9015;0,948
1,092817;0,1073;0,2741;0,9125;0,959
1,097877;0,1165;0,2736;0,9242;0,971
1,105578;0,1305;0,2687;0,9330;0,980
1,108236;0,1395;0,2704;0,9447;0,993
1,113107;0,1385;0,2748;0,9477;0,996
1,118413;0,1368;0,2775;0,9545;1,003
1,122929;0,1363;0,2775;0,9616;1,010
1,128269;0,1331;0,2690;0,9599;1,006
1,133140;0,1317;0,2634;0,9604;1,004
1,138255;0,1292;0,2612;0,9645;1,008
1,149339;0,1192;0,2634;0,9762;1,018
1,150840;0,1053;0,2685;0,9919;1,033
1,154796;0,0833;0,2712;0,9992;1,039
1,167881;0,0545;0,2748;0,9955;1,034
1,168578;0,0410;0,2761;0,9875;1,026
1,169026;0,0374;0,2778;0,9794;1,019
1,174767;0,0371;0,2839;0,9711;1,012
1,177926;0,0364;0,2895;0,9733;1,016
1,183056;0,0406;0,2961;0,9784;1,023
1,188208;0,0366;0,2978;0,9841;1,029
1,193396;0,0296;0,3005;0,9860;1,031
1,198487;0,0232;0,3039;0,9877;1,034
1,204632;0,0186;0,3073;0,9963;1,043
1,208366;0,0142;0,3086;0,9955;1,042
1,213192;0,0088;0,3132;0,9968;1,045
1,218347;0,0022;0,3164;0,9929;1,042
1,223699;-0,0020;0,3218;0,9894;1,040
1,228874;-0,0078;0,3261;0,9870;1,040
1,233812;-0,0134;0,3276;0,9833;1,037
1,246492;-0,0178;0,3335;0,9775;1,033
1,247771;-0,0178;0,3342;0,9662;1,023
1,248597;-0,0203;0,3362;0,9560;1,014
1,266029;-0,0161;0,3401;0,9447;1,004
1,267203;-0,0105;0,3423;0,9296;0,991
1,267687;-0,0056;0,3435;0,9220;0,984
1,269290;-0,0010;0,3457;0,9152;0,978
1,273658;0,0032;0,3447;0,9142;0,977
1,278693;0,0032;0,3396;0,9176;0,978
1,283751;0,0064;0,3308;0,9325;0,989
1,289071;0,0107;0,3249;0,9591;1,013
1,294250;0,0107;0,3174;0,9919;1,041
1,299298;0,0129;0,3108;1,0300;1,076
1,306299;0,0161;0,3046;1,0635;1,106
1,309010;0,0215;0,2990;1,0928;1,133
1,314126;0,0274;0,2929;1,1079;1,146
1,319582;0,0300;0,2912;1,1101;1,148
1,324448;0,0322;0,2934;1,1248;1,163
1,329316;0,0396;0,2907;1,1182;1,156
1,333962;0,0486;0,2875;1,1089;1,147
1,345706;0,0613;0,2858;1,1028;1,141
1,346516;0,0745;0,2873;1,0999;1,139
1,349361;0,0880;0,2912;1,0999;1,141
1,366305;0,1085;0,3010;1,1006;1,146
1,367165;0,1300;0,3108;1,0984;1,149
1,367533;0,1546;0,3198;1,0901;1,147
1,369358;0,1691;0,3240;1,0786;1,139
1,375612;0,1793;0,3254;1,0713;1,134
1,379318;0,1864;0,3288;1,0610;1,126
1,384190;0,1918;0,3305;1,0561;1,123
1,389874;0,1957;0,3305;1,0561;1,124
1,394896;0,1923;0,3347;1,0569;1,125
1,399786;0,1874;0,3327;1,0578;1,125
1,404798;0,1805;0,3318;1,0530;1,119
1,409695;0,1713;0,3374;1,0642;1,129
1,414658;0,1625;0,3345;1,0498;1,114
1,422612;0,1471;0,3357;1,0359;1,099
1,424919;0,1319;0,3367;1,0224;1,084
1,429714;0,1207;0,3425;1,0095;1,073
1,434552;0,1119;0,3476;0,9955;1,060
1,440066;0,1009;0,3513;0,9816;1,047
1,445027;0,0921;0,3540;0,9748;1,041
1,449892;0,0845;0,3557;0,9758;1,042
1,462361;0,0782;0,3533;0,9738;1,039
1,463330;0,0657;0,3501;0,9762;1,039
