time;gFx;gFy;gFz;TgF
1,279847;0,1185;0,5126;0,9420;1,079
1,284817;0,1263;0,5106;0,9491;1,085
1,289891;0,1446;0,5067;0,9521;1,088
1,294867;0,1664;0,5045;0,9533;1,091
1,300186;0,1876;0,5035;0,9528;1,094
1,305722;0,2089;0,5038;0,9538;1,099
1,310053;0,2243;0,5040;0,9645;1,111
1,315162;0,2289;0,4972;0,9826;1,125
1,322551;0,2299;0,4862;1,0034;1,138
1,325527;0,2296;0,4830;1,0124;1,145
1,330308;0,2301;0,4806;1,0136;1,145
1,335617;0,2350;0,4847;1,0170;1,151
1,341037;0,2326;0,4854;1,0190;1,152
1,345330;0,2287;0,4845;1,0205;1,153
1,350314;0,2194;0,4830;1,0212;1,151
1,358435;0,2081;0,4788;1,0190;1,145
1,360762;0,1930;0,4762;1,0192;1,141
1,365579;0,1761;0,4715;1,0295;1,146
1,376422;0,1612;0,4583;1,0385;1,147
1,377540;0,1461;0,4495;1,0449;1,147
1,380735;0,1456;0,4449;1,0473;1,147
1,385316;0,1529;0,4456;1,0461;1,147
1,390447;0,1407;0,4410;1,0400;1,138
1,396589;0,1339;0,4376;1,0454;1,141
1,400755;0,1402;0,4336;1,0696;1,163
1,406007;0,1439;0,4310;1,0982;1,188
1,410599;0,1344;0,4200;1,1201;1,204
1,416031;0,1241;0,4068;1,1365;1,213
1,422549;0,1200;0,3977;1,1377;1,211
1,426313;0,1222;0,3933;1,1275;1,200
1,430999;0,1270;0,3887;1,1048;1,178
1,436164;0,1371;0,3877;1,0703;1,147
1,441653;0,1515;0,3889;1,0412;1,122
1,446414;0,1656;0,3870;1,0051;1,090
1,451503;0,1825;0,3860;0,9689;1,059
1,462514;0,1959;0,3870;0,9269;1,023
1,463167;0,2045;0,3848;0,8822;0,984
1,466129;0,2209;0,3838;0,8299;0,941
1,478357;0,2299;0,3840;0,7825;0,901
1,479248;0,2362;0,3862;0,7329;0,861
1,480996;0,2350;0,3880;0,6838;0,821
1,485882;0,2292;0,3931;0,6301;0,777
1,490913;0,2147;0,3931;0,5895;0,740
1,495937;0,2001;0,3928;0,5487;0,704
1,500800;0,1891;0,3965;0,5094;0,673
1,505899;0,1845;0,4021;0,4749;0,649
1,510894;0,1862;0,4060;0,4312;0,621
1,515921;0,1930;0,4126;0,3894;0,599
1,521237;0,1942;0,4153;0,3591;0,582
1,526378;0,1906;0,4161;0,3498;0,576
1,531142;0,1859;0,4129;0,3564;0,576
1,536509;0,1803;0,4073;0,3872;0,590
1,541949;0,1752;0,3963;0,4356;0,614
1,546205;0,1810;0,3843;0,4979;0,654
1,551388;0,1989;0,3765;0,5746;0,715
1,563943;0,2079;0,3689;0,6577;0,782
1,564918;0,2038;0,3635;0,7339;0,844
1,566457;0,1930;0,3616;0,8008;0,900
1,579015;0,1769;0,3560;0,8521;0,940
1,580527;0,1576;0,3486;0,8903;0,969
1,581572;0,1378;0,3442;0,9130;0,985
1,586673;0,1229;0,3445;0,9342;1,003
1,591641;0,1119;0,3533;0,9462;1,016
1,596697;0,1109;0,3643;0,9640;1,037
1,602185;0,1204;0,3762;0,9721;1,049
1,606915;0,1378;0,3897;0,9743;1,058
1,612037;0,1581;0,4068;0,9662;1,060
1,616985;0,1779;0,4187;0,9425;1,047
1,622416;0,1928;0,4319;0,9081;1,024
1,627204;0,2042;0,4476;0,8705;1,000
1,632210;0,2150;0,4644;0,8346;0,979
1,638873;0,2231;0,4837;0,7962;0,958
1,642174;0,2213;0,5016;0,7498;0,929
1,647422;0,2133;0,5160;0,7163;0,908
1,652444;0,2081;0,5257;0,6865;0,889
1,663770;0,2045;0,5341;0,6608;0,874
1,664604;0,2011;0,5436;0,6374;0,861
1,666895;0,1979;0,5492;0,6230;0,854
1,684520;0,1935;0,5565;0,6113;0,849
1,685604;0,1893;0,5582;0,6088;0,847
1,686238;0,1879;0,5580;0,6142;0,851
1,687191;0,1898;0,5580;0,6301;0,863
1,692303;0,1847;0,5553;0,6577;0,880
1,697031;0,1801;0,5514;0,6772;0,892
1,702276;0,1788;0,5468;0,6921;0,900
1,707371;0,1783;0,5441;0,7041;0,908
1,712363;0,1791;0,5411;0,7192;0,918
1,717465;0,1759;0,5409;0,7341;0,929
1,722793;0,1693;0,5450;0,7532;0,945
