time;gFx;gFy;gFz;TgF
1,243122;-0,0440;0,1341;0,9794;0,990
1,246392;-0,0479;0,1314;0,9831;0,993
1,251387;-0,0496;0,1275;0,9929;1,002
1,256761;-0,0525;0,1253;1,0046;1,014
1,261551;-0,0555;0,1244;1,0161;1,025
1,266809;-0,0591;0,1209;1,0232;1,032
1,273401;-0,0652;0,1197;1,0339;1,043
1,276930;-0,0711;0,1185;1,0415;1,051
1,282019;-0,0730;0,1204;1,0461;1,056
1,287661;-0,0752;0,1224;1,0486;1,058
1,292198;-0,0760;0,1239;1,0525;1,062
1,296958;-0,0728;0,1292;1,0581;1,068
1,301976;-0,0669;0,1351;1,0644;1,075
1,314437;-0,0569;0,1397;1,0713;1,082
1,315752;-0,0486;0,1424;1,0759;1,086
1,316915;-0,0393;0,1493;1,0771;1,088
1,328150;-0,0357;0,1510;1,0749;1,086
1,329173;-0,0279;0,1542;1,0640;1,075
1,332227;-0,0247;0,1583;1,0542;1,066
1,337096;-0,0215;0,1649;1,0417;1,055
1,342105;-0,0200;0,1705;1,0271;1,041
1,346877;-0,0173;0,1771;1,0153;1,031
1,351973;-0,0115;0,1835;1,0039;1,021
1,357249;-0,0083;0,1906;0,9958;1,014
1,361933;-0,0017;0,1959;0,9838;1,003
1,366960;0,0086;0,2003;0,9721;0,993
1,372004;0,0125;0,2038;0,9560;0,978
1,377649;0,0171;0,2038;0,9359;0,958
1,381991;0,0193;0,2050;0,9196;0,942
1,388832;0,0169;0,2020;0,9066;0,929
1,392293;0,0151;0,1986;0,8961;0,918
1,397287;0,0134;0,1937;0,8946;0,915
1,402212;0,0139;0,1876;0,9034;0,923
1,407607;0,0166;0,1845;0,9232;0,942
1,412314;0,0156;0,1764;0,9472;0,964
1,417435;0,0154;0,1698;0,9775;0,992
1,431444;0,0147;0,1603;1,0039;1,017
1,432636;0,0129;0,1524;1,0349;1,046
1,433174;0,0120;0,1437;1,0539;1,064
1,447139;0,0073;0,1407;1,0664;1,076
1,448334;0,0017;0,1380;1,0764;1,085
1,448851;-0,0037;0,1371;1,0776;1,086
1,452511;-0,0083;0,1346;1,0706;1,079
1,457901;-0,0112;0,1375;1,0552;1,064
1,462758;-0,0122;0,1388;1,0398;1,049
1,467684;-0,0100;0,1449;1,0224;1,033
1,472676;-0,0051;0,1529;1,0026;1,014
1,477760;0,0037;0,1637;0,9855;0,999
1,482572;0,0154;0,1752;0,9736;0,989
1,490528;0,0261;0,1835;0,9616;0,979
1,493163;0,0344;0,1918;0,9538;0,973
1,498416;0,0384;0,1979;0,9479;0,969
1,502942;0,0425;0,2013;0,9447;0,967
1,513110;0,0403;0,2025;0,9376;0,960
1,514480;0,0391;0,2040;0,9352;0,958
1,517803;0,0376;0,2045;0,9345;0,957
1,529034;0,0366;0,2057;0,9372;0,960
1,530165;0,0374;0,2084;0,9445;0,968
1,532851;0,0369;0,2069;0,9562;0,979
1,538005;0,0362;0,2062;0,9697;0,992
1,542957;0,0308;0,2001;0,9858;1,006
1,547795;0,0264;0,1972;1,0031;1,023
1,552961;0,0217;0,1925;1,0200;1,038
1,557844;0,0178;0,1896;1,0390;1,056
1,562978;0,0139;0,1835;1,0574;1,073
1,568129;0,0103;0,1801;1,0749;1,090
1,573134;0,0088;0,1742;1,0911;1,105
1,578122;0,0081;0,1669;1,1043;1,117
1,583054;0,0100;0,1649;1,1133;1,125
1,588606;0,0149;0,1652;1,1160;1,128
1,593082;0,0205;0,1666;1,1138;1,126
1,598051;0,0257;0,1737;1,1123;1,126
1,603068;0,0308;0,1810;1,1070;1,122
1,609922;0,0362;0,1871;1,0996;1,116
1,613406;0,0408;0,1937;1,0901;1,108
1,618355;0,0511;0,2006;1,0762;1,096
1,623598;0,0625;0,2091;1,0591;1,081
1,628792;0,0730;0,2187;1,0381;1,063
1,633415;0,0872;0,2296;1,0085;1,038
1,638836;0,1009;0,2438;0,9828;1,018
1,643686;0,1104;0,2526;0,9589;0,998
1,648526;0,1165;0,2585;0,9384;0,980
1,653590;0,1192;0,2629;0,9149;0,959
1,658700;0,1173;0,2643;0,8951;0,941
1,664219;0,1168;0,2648;0,8761;0,923
1,668869;0,1148;0,2656;0,8563;0,904
1,674626;0,1090;0,2631;0,8409;0,888
1,679139;0,1055;0,2617;0,8311;0,878
1,683804;0,1021;0,2585;0,8236;0,869
1,689601;0,0911;0,2499;0,8299;0,872
1,694198;0,0831;0,2465;0,8482;0,887
1,699047;0,0765;0,2382;0,8663;0,902
1,713018;0,0672;0,2323;0,8976;0,930
1,714046;0,0581;0,2245;0,9279;0,956
1,714535;0,0459;0,2143;0,9486;0,974
1,719067;0,0340;0,2033;0,9560;0,978
1,723779;0,0173;0,1942;0,9555;0,975
1,729043;0,0015;0,1920;0,9518;0,971
1,734129;-0,0142;0,1923;0,9484;0,968
1,739087;-0,0327;0,1945;0,9420;0,962
1,744364;-0,0408;0,1925;0,9359;0,956
1,749500;-0,0462;0,1954;0,9291;0,951
1,756408;-0,0430;0,1964;0,9281;0,950
1,759838;-0,0381;0,2042;0,9242;0,947
1,764434;-0,0335;0,2133;0,9298;0,955
1,769616;-0,0318;0,2194;0,9381;0,964
1,774389;-0,0242;0,2272;0,9499;0,977
1,779372;-0,0169;0,2304;0,9582;0,986
1,784547;-0,0073;0,2360;0,9714;1,000
1,789699;-0,0029;0,2416;0,9887;1,018
1,794506;0,0020;0,2477;1,0048;1,035
1,799518;0,0073;0,2538;1,0175;1,049
1,813374;0,0125;0,2560;1,0266;1,058
1,814196;0,0186;0,2587;1,0290;1,061
1,814597;0,0247;0,2675;1,0285;1,063
1,819796;0,0300;0,2726;1,0263;1,062
1,825329;0,0344;0,2805;1,0278;1,066
1,829578;0,0376;0,2836;1,0307;1,070
1,834524;0,0364;0,2827;1,0341;1,073
1,840305;0,0318;0,2770;1,0271;1,064
1,844800;0,0257;0,2780;1,0158;1,053
1,849509;0,0181;0,2790;1,0029;1,041
1,855358;0,0083;0,2800;0,9848;1,024
1,859804;0,0049;0,2819;0,9719;1,012
1,865395;0,0002;0,2844;0,9633;1,004
1,869683;-0,0017;0,2836;0,9604;1,001
1,874801;-0,0037;0,2817;0,9628;1,003
1,879781;-0,0034;0,2785;0,9638;1,003
1,884909;-0,0029;0,2748;0,9655;1,004
1,889918;-0,0005;0,2741;0,9667;1,005
1,894815;0,0002;0,2751;0,9670;1,005
1,899717;-0,0007;0,2746;0,9594;0,998
1,913573;-0,0024;0,2734;0,9569;0,995
1,914349;-0,0051;0,2741;0,9557;0,994
1,914735;-0,0105;0,2722;0,9582;0,996
1,920867;-0,0129;0,2726;0,9670;1,005
1,929868;-0,0186;0,2763;0,9814;1,020
1,931176;-0,0200;0,2763;0,9982;1,036
1,935169;-0,0208;0,2741;1,0105;1,047
1,939963;-0,0186;0,2731;1,0200;1,056
1,945056;-0,0178;0,2739;1,0271;1,063
1,950272;-0,0149;0,2712;1,0295;1,065
1,955129;-0,0115;0,2722;1,0293;1,065
1,960184;-0,0120;0,2695;1,0283;1,063
1,965183;-0,0100;0,2670;1,0190;1,053
1,970376;-0,0051;0,2660;1,0153;1,050
1,975441;0,0002;0,2660;1,0036;1,038
1,980264;0,0071;0,2687;0,9914;1,027
1,985378;0,0122;0,2685;0,9816;1,018
1,990434;0,0161;0,2697;0,9706;1,008
1,995585;0,0169;0,2682;0,9565;0,994
2,000662;0,0161;0,2692;0,9547;0,992
2,013002;0,0164;0,2719;0,9650;1,003
2,013789;0,0154;0,2695;0,9816;1,018
2,015754;0,0176;0,2646;0,9999;1,035
2,030686;0,0247;0,2604;1,0151;1,048
2,032377;0,0279;0,2585;1,0310;1,063
2,033121;0,0308;0,2560;1,0459;1,077
2,035619;0,0347;0,2546;1,0552;1,086
2,041465;0,0366;0,2536;1,0588;1,089
2,045865;0,0398;0,2553;1,0615;1,093
2,051187;0,0403;0,2570;1,0586;1,090
2,056835;0,0403;0,2587;1,0610;1,093
2,061324;0,0406;0,2617;1,0620;1,095
2,066263;0,0408;0,2634;1,0666;1,099
2,071788;0,0467;0,2660;1,0696;1,103
2,076494;0,0550;0,2673;1,0715;1,106
2,081437;0,0638;0,2695;1,0693;1,105
2,086482;0,0723;0,2704;1,0713;1,107
2,091874;0,0765;0,2722;1,0710;1,108
2,096363;0,0760;0,2770;1,0693;1,107
2,101387;0,0706;0,2773;1,0608;1,099
2,109843;0,0601;0,2770;1,0466;1,084
2,111067;0,0523;0,2763;1,0295;1,067
2,116674;0,0459;0,2748;1,0114;1,049
2,125106;0,0396;0,2810;0,9960;1,036
2,126391;0,0325;0,2863;0,9828;1,024
2,131523;0,0276;0,2902;0,9775;1,020
2,136280;0,0266;0,2951;0,9736;1,018
2,141636;0,0281;0,2956;0,9836;1,027
2,147445;0,0296;0,2954;0,9958;1,039
2,152221;0,0305;0,2897;1,0175;1,058
2,157194;0,0313;0,2763;1,0324;1,069
2,161563;0,0276;0,2678;1,0444;1,079
2,166672;0,0261;0,2604;1,0461;1,078
2,172503;0,0213;0,2548;1,0466;1,077
2,176890;0,0149;0,2494;1,0456;1,075
2,181818;0,0078;0,2428;1,0486;1,076
2,187446;0,0051;0,2328;1,0495;1,075
2,192394;0,0002;0,2253;1,0569;1,081
2,197142;-0,0005;0,2123;1,0618;1,083
2,202110;-0,0015;0,2011;1,0720;1,091
2,213831;0,0051;0,1871;1,0828;1,099
2,215279;0,0059;0,1776;1,0886;1,103
2,217222;0,0093;0,1705;1,0942;1,107
2,229070;0,0147;0,1630;1,0967;1,109
2,230422;0,0210;0,1581;1,0903;1,102
2,232185;0,0222;0,1524;1,0850;1,096
2,237158;0,0271;0,1522;1,0784;1,089
2,242256;0,0310;0,1488;1,0735;1,084
2,247312;0,0337;0,1476;1,0659;1,077
2,252224;0,0428;0,1515;1,0622;1,074
2,257336;0,0513;0,1617;1,0534;1,067
2,262765;0,0591;0,1727;1,0491;1,065
2,267177;0,0662;0,1825;1,0407;1,059
2,272666;0,0726;0,1903;1,0254;1,045
2,277475;0,0750;0,1959;1,0039;1,026
2,282592;0,0779;0,2003;0,9863;1,009
2,290101;0,0738;0,2062;0,9679;0,992
2,292725;0,0684;0,2108;0,9572;0,983
2,297744;0,0589;0,2113;0,9582;0,983
2,302525;0,0535;0,2064;0,9616;0,985
2,308428;0,0401;0,2020;0,9692;0,991
2,312165;0,0303;0,1913;0,9723;0,991
2,316959;0,0164;0,1805;0,9811;0,998
2,325951;-0,0002;0,1703;0,9846;0,999
2,327027;-0,0164;0,1625;0,9872;1,001
2,332191;-0,0296;0,1527;0,9897;1,002
2,337733;-0,0393;0,1424;0,9902;1,001
2,342092;-0,0481;0,1322;0,9965;1,006
2,347238;-0,0559;0,1214;1,0070;1,016
2,352296;-0,0677;0,1104;1,0183;1,026
2,357208;-0,0799;0,0987;1,0378;1,046
2,362196;-0,0958;0,0836;1,0547;1,062
2,367234;-0,1112;0,0733;1,0745;1,083
2,372276;-0,1244;0,0662;1,0933;1,102
2,377187;-0,1361;0,0581;1,1057;1,116
2,382139;-0,1388;0,0511;1,1187;1,128
2,388681;-0,1371;0,0491;1,1182;1,128
