time;gFx;gFy;gFz;TgF
0,871106;0,0266;0,1588;1,0498;1,062
0,878382;0,0293;0,1639;1,0390;1,052
0,881183;0,0288;0,1669;1,0256;1,039
0,886781;0,0298;0,1691;1,0153;1,030
0,891388;0,0283;0,1713;1,0039;1,019
0,899324;0,0286;0,1710;0,9975;1,012
0,901252;0,0291;0,1730;0,9929;1,008
0,906328;0,0347;0,1747;0,9909;1,007
0,911620;0,0374;0,1705;0,9682;0,984
0,916412;0,0342;0,1732;0,9841;1,000
0,921191;0,0279;0,1666;1,0065;1,021
0,927801;0,0183;0,1551;1,0056;1,018
0,931882;0,0127;0,1502;0,9955;1,007
0,936724;0,0132;0,1515;0,9919;1,003
0,941443;0,0164;0,1524;0,9916;1,003
0,946607;0,0173;0,1559;0,9975;1,010
0,951730;0,0161;0,1490;1,0012;1,012
0,956894;0,0159;0,1485;1,0036;1,015
0,961796;0,0161;0,1476;1,0068;1,018
0,966724;0,0166;0,1468;1,0080;1,019
0,971437;0,0178;0,1466;1,0087;1,019
0,976606;0,0191;0,1454;1,0117;1,022
0,981339;0,0210;0,1490;1,0048;1,016
0,986316;0,0169;0,1539;0,9999;1,012
0,991471;0,0169;0,1549;0,9980;1,010
0,997172;0,0149;0,1532;0,9982;1,010
1,001722;0,0191;0,1539;0,9924;1,004
1,006466;0,0198;0,1556;0,9926;1,005
1,011652;0,0181;0,1568;0,9882;1,001
1,016889;0,0151;0,1588;0,9872;1,000
1,021657;0,0151;0,1586;0,9848;0,998
1,026826;0,0134;0,1573;0,9819;0,994
1,031888;0,0115;0,1556;0,9811;0,993
1,036793;0,0098;0,1542;0,9828;0,995
1,042019;0,0086;0,1573;0,9860;0,999
1,046715;0,0132;0,1568;0,9902;1,003
1,051923;0,0139;0,1586;0,9899;1,003
1,056836;0,0122;0,1556;0,9814;0,994
1,061812;0,0100;0,1500;0,9716;0,983
1,066820;0,0054;0,1468;0,9709;0,982
1,071924;0,0034;0,1490;0,9846;0,996
1,076922;0,0027;0,1502;1,0031;1,014
