time;gFx;gFy;gFz;TgF
1,377435;0,0384;0,2990;1,0769;1,118
1,382417;0,0410;0,2922;1,0779;1,118
1,387892;0,0515;0,2907;1,0708;1,111
1,392438;0,0640;0,2951;1,0754;1,117
1,397490;0,0628;0,2968;1,0823;1,124
1,405967;0,0606;0,2956;1,0815;1,123
1,407996;0,0591;0,2932;1,0725;1,113
1,412776;0,0581;0,2895;1,0586;1,099
1,417984;0,0555;0,2873;1,0469;1,087
1,429376;0,0515;0,2893;1,0339;1,075
1,430202;0,0388;0,2917;1,0153;1,057
1,432919;0,0352;0,2934;0,9907;1,034
1,449861;0,0391;0,2963;0,9572;1,003
1,451150;0,0398;0,2981;0,9174;0,965
1,451999;0,0454;0,3034;0,8773;0,929
1,452374;0,0525;0,3061;0,8385;0,894
1,457954;0,0603;0,3110;0,8148;0,874
1,462581;0,0721;0,3154;0,8025;0,865
1,467621;0,0745;0,3196;0,7979;0,863
1,472537;0,0779;0,3210;0,8018;0,867
1,477461;0,0796;0,3196;0,8194;0,883
1,482321;0,0755;0,3149;0,8463;0,906
1,487650;0,0674;0,3073;0,8763;0,931
1,492669;0,0594;0,3022;0,8986;0,950
1,497519;0,0525;0,3010;0,9166;0,966
1,510594;0,0491;0,3005;0,9271;0,976
1,511795;0,0437;0,3029;0,9289;0,978
1,512953;0,0420;0,3098;0,9247;0,976
1,517800;0,0457;0,3142;0,9130;0,967
1,529162;0,0479;0,3196;0,9000;0,956
1,530071;0,0515;0,3249;0,8895;0,948
1,532740;0,0542;0,3320;0,8810;0,943
1,537720;0,0596;0,3352;0,8702;0,934
1,543232;0,0621;0,3415;0,8636;0,931
1,548134;0,0633;0,3474;0,8578;0,928
1,554268;0,0618;0,3518;0,8521;0,924
1,557836;0,0635;0,3545;0,8453;0,919
1,563634;0,0599;0,3574;0,8424;0,917
1,568760;0,0611;0,3599;0,8411;0,917
1,573323;0,0606;0,3647;0,8448;0,922
1,578368;0,0603;0,3672;0,8529;0,931
1,583348;0,0623;0,3694;0,8614;0,939
1,588855;0,0606;0,3716;0,8685;0,947
1,593306;0,0542;0,3709;0,8793;0,956
1,598595;0,0467;0,3687;0,8942;0,968
1,609964;0,0393;0,3662;0,9032;0,975
1,611029;0,0335;0,3611;0,9159;0,985
1,614940;0,0288;0,3550;0,9281;0,994
1,618071;0,0325;0,3518;0,9389;1,003
1,630555;0,0364;0,3501;0,9462;1,010
1,631503;0,0450;0,3467;0,9518;1,014
1,633698;0,0452;0,3474;0,9579;1,020
1,638582;0,0459;0,3462;0,9660;1,027
1,643303;0,0457;0,3411;0,9733;1,032
1,648271;0,0437;0,3376;0,9836;1,041
1,653442;0,0423;0,3323;0,9943;1,049
1,658350;0,0437;0,3320;1,0026;1,057
1,663433;0,0420;0,3288;1,0141;1,067
1,669899;0,0435;0,3264;1,0222;1,074
1,673659;0,0464;0,3244;1,0310;1,082
1,678878;0,0530;0,3186;1,0337;1,083
1,683797;0,0550;0,3193;1,0376;1,087
1,689324;0,0591;0,3171;1,0359;1,085
1,693877;0,0655;0,3205;1,0293;1,080
1,699537;0,0738;0,3208;1,0192;1,071
1,714592;0,0806;0,3186;1,0080;1,060
1,715683;0,0833;0,3188;0,9938;1,047
1,716033;0,0796;0,3178;0,9767;1,030
1,735075;0,0772;0,3171;0,9618;1,016
1,736454;0,0767;0,3169;0,9521;1,006
1,736955;0,0718;0,3152;0,9450;0,999
1,737362;0,0684;0,3142;0,9428;0,996
1,738917;0,0689;0,3115;0,9386;0,991
1,744076;0,0696;0,3134;0,9384;0,992
1,748925;0,0789;0,3137;0,9496;1,003
1,754065;0,0880;0,3174;0,9601;1,015
1,759265;0,0985;0,3225;0,9677;1,025
1,764189;0,1063;0,3279;0,9716;1,031
1,769738;0,1151;0,3301;0,9733;1,034
1,774187;0,1200;0,3367;0,9738;1,037
1,778878;0,1168;0,3408;0,9653;1,030
1,784080;0,1080;0,3433;0,9457;1,012
1,789580;0,1024;0,3476;0,9286;0,997
1,794099;0,0965;0,3530;0,9105;0,981
1,799026;0,0875;0,3557;0,8920;0,964
1,809609;0,0784;0,3567;0,8739;0,947
1,810431;0,0740;0,3594;0,8653;0,940
1,814595;0,0757;0,3652;0,8663;0,943
1,826601;0,0840;0,3687;0,8722;0,951
1,827441;0,0987;0,3723;0,8824;0,963
1,829241;0,1156;0,3743;0,8954;0,977
1,834408;0,1297;0,3765;0,9144;0,997
1,839215;0,1405;0,3750;0,9381;1,020
1,844632;0,1468;0,3713;0,9618;1,041
1,849567;0,1471;0,3669;0,9843;1,061
1,854543;0,1473;0,3623;1,0070;1,080
1,860040;0,1478;0,3555;1,0290;1,099
1,864760;0,1454;0,3503;1,0376;1,105
1,872282;0,1390;0,3408;1,0354;1,099
1,874491;0,1397;0,3386;1,0300;1,093
1,879995;0,1349;0,3371;1,0168;1,080
1,886390;0,1258;0,3325;0,9943;1,056
1,889642;0,1236;0,3296;0,9689;1,031
1,894653;0,1229;0,3288;0,9416;1,005
1,899778;0,1197;0,3281;0,9152;0,980
1,910597;0,1148;0,3252;0,8900;0,954
1,911526;0,1116;0,3240;0,8670;0,932
1,914980;0,1112;0,3218;0,8502;0,916
1,929134;0,1131;0,3205;0,8382;0,905
1,929748;0,1134;0,3200;0,8372;0,903
1,930003;0,1112;0,3242;0,8367;0,904
1,934899;0,1097;0,3298;0,8419;0,911
1,940023;0,1065;0,3354;0,8521;0,922
1,944959;0,1046;0,3357;0,8668;0,935
1,949957;0,1004;0,3362;0,8815;0,949
1,954925;0,1004;0,3364;0,8986;0,965
1,960141;0,0987;0,3332;0,9166;0,980
1,965443;0,0975;0,3337;0,9235;0,987
1,970780;0,0989;0,3342;0,9264;0,990
1,975268;0,0972;0,3325;0,9276;0,990
1,980208;0,1002;0,3330;0,9235;0,987
1,985707;0,1063;0,3335;0,9181;0,983
1,991096;0,1082;0,3364;0,9176;0,983
1,995496;0,1138;0,3389;0,9186;0,986
2,000295;0,1222;0,3413;0,9279;0,996
2,008115;0,1297;0,3437;0,9428;1,012
2,010161;0,1297;0,3474;0,9538;1,023
2,015218;0,1266;0,3462;0,9684;1,036
2,023185;0,1229;0,3486;0,9843;1,051
2,025471;0,1119;0,3498;1,0043;1,069
2,030507;0,1029;0,3496;1,0185;1,082
2,037351;0,0982;0,3528;1,0307;1,094
2,041174;0,0948;0,3533;1,0393;1,102
2,045645;0,0928;0,3542;1,0447;1,107
2,050575;0,0926;0,3584;1,0444;1,108
2,056528;0,0945;0,3628;1,0417;1,107
2,060950;0,0950;0,3679;1,0337;1,101
2,065839;0,0953;0,3731;1,0244;1,094
2,070990;0,0994;0,3760;1,0210;1,093
2,076005;0,0997;0,3765;1,0161;1,088
2,081016;0,0987;0,3738;1,0092;1,081
2,087745;0,0950;0,3721;1,0043;1,075
2,091068;0,0931;0,3733;1,0034;1,075
2,096205;0,0997;0,3745;1,0041;1,076
2,101686;0,1129;0,3750;0,9982;1,072
2,106808;0,1361;0,3735;1,0039;1,080
2,111151;0,1603;0,3801;1,0214;1,102
2,116151;0,1747;0,3787;1,0371;1,118
2,128042;0,1867;0,3797;1,0422;1,125
2,128804;0,1954;0,3755;1,0388;1,122
2,131928;0,1942;0,3696;1,0324;1,114
2,153074;0,1915;0,3682;1,0249;1,106
2,154706;0,1891;0,3677;1,0202;1,101
2,155774;0,1888;0,3691;1,0163;1,098
2,156808;0,1935;0,3731;1,0117;1,095
2,157373;0,1942;0,3765;1,0046;1,090
2,161454;0,1954;0,3784;0,9990;1,086
2,166310;0,1950;0,3816;0,9958;1,084
2,171992;0,1945;0,3826;0,9921;1,081
2,176479;0,1940;0,3823;0,9870;1,076
2,181456;0,1959;0,3858;0,9799;1,071
2,187504;0,1984;0,3892;0,9762;1,070
2,191983;0,2018;0,3938;0,9689;1,065
2,196690;0,2018;0,3990;0,9599;1,059
2,202096;0,1959;0,4029;0,9506;1,051
2,206793;0,1884;0,4033;0,9362;1,037
2,212247;0,1776;0,4051;0,9271;1,027
